Video,Model,Person,Sewing machine,Garment Holder
VNGPCAM001-20251016-094559.mp4,best10Try.pt,0.472372551166003,0.4007108714431524,0.45079432913611606
VNGPCAM002-20251016-093952.mp4,best10Try.pt,0.4683377174460518,0.34155233945957447,0.5116193780553675
VNGPCAM003-20230318-183947.mp4,best10Try.pt,0.8394336762712963,0.8241900871448568,0.2673670388104623
VNGPCAM004-20251016-093955.mp4,best10Try.pt,0.8267265055714591,0.3847931139998966,0.381300378929485
VNGPCAM005-20251016-092951.mp4,best10Try.pt,0.6203770964436157,0.5073730610208605,0.6068093672847937
VNGPCAM013-20251016-085952.mp4,best10Try.pt,0.7532852359258276,0.3640435595344342,0.27885454561975265
VNGPCAM017-20230318-225911.mp4,best10Try.pt,0.8693152347476436,0.5631965692274298,
VNGPCAM019-20251016-092953.mp4,best10Try.pt,0.6223161243589739,0.7411132699809196,0.33975870174817946
VNGPCAM022-20251016-091954.mp4,best10Try.pt,0.7341874954410088,0.6560283604979621,0.4415705997368385
VNGPCAM024-20251016-094954.mp4,best10Try.pt,0.5716822124161148,0.5146825854123439,0.4531395643572879
VNGPCAM026-20251016-091953.mp4,best10Try.pt,0.5337469433888911,0.5979095901758382,
VNGPCAM027-20251016-092952.mp4,best10Try.pt,0.6011021463445327,0.29166572690010073,0.3088990088020052
VNGPCAM028-20230318-222205.mp4,best10Try.pt,0.8265784721358146,0.7318803591891305,0.6543130635260949
VNGPCAM029-20251016-090954.mp4,best10Try.pt,0.618572147809875,0.34467215730310585,0.5871554346242432
VNGPCAM030-20230318-183949.mp4,best10Try.pt,0.7496330425744157,0.8273750459655257,0.8592455935773418
VNGPCAM031-20251016-085953.mp4,best10Try.pt,0.5246943663554015,0.3919453564123984,
VNGPCAM009-20251031-112954.mp4,best1Model2.pt,0.5311356677806803,0.8534243698019043,0.2643449902534485
VNGPCAM013-20251031-113407.mp4,best1Model2.pt,0.6742344929365105,0.8910589224678265,0.7750171938003638
VNGPCAM014-20251031-111956.mp4,best1Model2.pt,0.868343484741585,0.7535375679830423,0.6571895119693509
VNGPCAM017-20251029-115952.mp4,best1Model2.pt,0.7731315199785012,0.9287636094817113,
VNGPCAM018-20251029-114952.mp4,best1Model2.pt,0.49976670379574234,0.631825498579624,0.9458163179526327
VNGPCAM019-20251031-113956.mp4,best1Model2.pt,0.8458012459245015,0.9491217663043922,0.6841651078860435
VNGPCAM020-20251031-114117.mp4,best1Model2.pt,,0.8397265280649565,0.5416866556119455
VNGPCAM022-20251031-114146.mp4,best1Model2.pt,0.660462556498034,0.8201101158780081,0.784543064805835
VNGPCAM026-20251031-114138.mp4,best1Model2.pt,0.8886819769561113,0.8979768729869991,0.6261836900896319
VNGPCAM027-20251031-114139.mp4,best1Model2.pt,,0.9294267917595972,0.5286537172444209
reolink qtz-20251103-094558.mp4,bestTry1Model3.pt,0.3854223753810789,0.357086718082428,0.42782645108667167
VNGPCAM003-20251102-043643.mp4,bestTry1Model3.pt,0.7072259130654103,0.8136112528120276,0.5247034964047146
VNGPCAM025-20251101-172546.mp4,bestTry1Model3.pt,0.7257418825084812,0.6020879724190613,0.4201883883298822
